coin,k,test_bars,test_days,trades,ret_total,ret_annualized,vol_annualized,sharpe,winrate,max_drawdown,avg_bars_per_trade,ref,test_start
SHIBUSD,63,115048,79.9,310,0.6703080655506636,3.6288185735817,0.2958955751374179,12.263848700695672,0.18723143032535297,-0.0435781159035174,42.038709677419355,BTCUSD,2025-08-24T23:06:00+00:00
SHIBUSDT,52,115048,79.9,259,0.5165758989061083,2.833290908708103,0.4489803152569702,6.310501391383912,0.2145835452049222,-0.09217549502291647,37.965250965250966,BTCUSD,2025-08-24T23:06:00+00:00
SOLUSD,224,115048,79.9,96,0.054738141318893464,0.4255041989188034,0.32536982991651053,1.3077555410711774,0.21461543924437185,-0.09244010425423131,146.67708333333334,BTCUSD,2025-08-24T23:06:00+00:00
SOLUSDT,115,115048,79.9,108,0.11006609399141384,0.7002004294023992,0.2538333594873614,2.7585043542607908,0.2857481060606061,-0.04948604141515524,78.22222222222223,BTCUSD,2025-08-24T23:06:00+00:00
SUIUSD,239,115031,79.9,123,0.48320041167641753,2.4326456031602426,0.4004774848662159,6.074362955932685,0.16028581084343166,-0.19471958803666917,168.39837398373984,BTCUSD,2025-08-24T23:23:00+00:00
SUIUSDT,101,115048,79.9,126,0.19941647765684714,1.1412935527470192,0.3109375820833973,3.6704908504108316,0.19991373733017037,-0.08461603822279655,73.60317460317461,BTCUSD,2025-08-24T23:06:00+00:00
UNIUSD,22,114184,79.3,839,0.8519858828073237,5.46657272475588,0.9062358689447677,6.032174302202364,0.2023125873040509,-0.26563722754766284,15.35876042908224,BTCUSD,2025-08-25T13:30:00+00:00
UNIUSDT,102,115048,79.9,191,0.15587806584654115,1.061168828740547,1.924446864074218,0.551414979623909,0.1956082057208899,-0.6040799768362878,72.48167539267016,BTCUSD,2025-08-24T23:06:00+00:00
USD1USDT,1,6220,4.3,439,-0.17560000000000298,0.0,0.0,0.0,0.0,-0.17560000000000298,1.0,BTCUSD,2025-11-08T12:54:00+00:00
WLFIUSDT,52,6232,4.3,21,0.09854301178227849,9.019455550828875,0.5549663695027203,16.252256054953722,0.3438177874186551,-0.031694181414803665,43.904761904761905,BTCUSD,2025-11-08T12:42:00+00:00
XLMUSD,94,115048,79.9,241,1.24909788784017,6.146944665259632,0.5010979155274344,12.266953156043941,0.17893819630298127,-0.07714033572849577,66.66804979253112,BTCUSD,2025-08-24T23:06:00+00:00
XLMUSDT,46,115048,79.9,291,0.7994962198681403,4.184297451174234,0.5642282608573382,7.415965728905169,0.22592629782106638,-0.09991162213119908,34.223367697594504,BTCUSD,2025-08-24T23:06:00+00:00
XRPUSD,67,105994,73.6,171,0.5052198861387992,2.844449800503347,0.2842429111494886,10.007108996123451,0.20822681849872182,-0.04955645961038191,50.32748538011696,BTCUSD,2025-08-31T06:00:00+00:00
XRPUSDT,39,115048,79.9,239,0.0025173678090718264,0.4482519341531195,0.18160437573466057,2.4682881706473156,0.2782540919719408,-0.06723535538170596,26.84100418410042,BTCUSD,2025-08-24T23:06:00+00:00
ZECUSDT,548,115048,79.9,136,0.23561481469650689,1.3240270722175336,4.671770287673337,0.2834101401572691,0.18800349220207152,-1.47677639660087,370.5735294117647,BTCUSD,2025-08-24T23:06:00+00:00
